#"Step"	"T_COM"	"T_Atom"	"T_Drude"	"KE_COM"	"KE_Atom"	"KE_Drude"
500	299.17241357742796	299.53637983455536	0.9843665287886166	3727.4555868346997	28640.56637848064	61.38359029630661
1000	290.8896814761824	301.06968834444433	1.0035119970348496	3624.259186886371	28787.175695787668	62.577472396609195
1500	287.3742797680703	298.2400672125242	1.0384644939318544	3580.460015765672	28516.617735851476	64.75705661306867
2000	309.19951342404113	297.8487876473278	0.9682540549939493	3852.3854521791673	28479.205023693645	60.3788410884186
2500	308.2250999398939	298.18716015875987	1.0323061660192032	3840.2450180330507	28511.558958062735	64.37303270891816
3000	293.67726440917	302.6800240981755	1.0082282457541347	3658.990302142225	28941.15007469902	62.87157044916725
3500	296.61892746418334	300.53045168224986	1.058910063813948	3695.6411358801324	28735.615870480906	66.03201106175497
4000	297.81334678029395	302.0628049696949	0.9846296513365523	3710.5226715793033	28882.133852932966	61.39999821572265
4500	308.9595561641418	301.35753601591927	1.0377627345542724	3849.3957713515874	28814.698630885978	64.71329597222984
5000	301.50388484614115	299.84293509528476	1.0072227595937033	3756.503905502157	28669.878064421566	62.80886987096244
5500	295.4555597842526	298.72410308081976	1.047288247025641	3681.1464794168337	28562.89946437855	65.30729235244443
6000	302.5879813333749	302.79403229068515	0.982908977663723	3770.010904558945	28952.051118529038	61.292699638741794
6500	305.06381783447813	299.3874638355205	0.9903016501610783	3800.8579017395127	28626.327578647604	61.753695382198124
7000	320.8011805799552	298.32500063309124	0.967789274155339	3996.933201551509	28524.738756980343	60.34985806660666
7500	308.517517832564	295.6890162208769	1.046292016065299	3843.888317542821	28272.695627620353	65.24516891435337
8000	297.1769135242483	299.3974223123473	0.9916204116534645	3702.593208205566	28627.27977155567	61.83593133067842
8500	313.49322314476785	300.8191827114782	1.0667787915969988	3905.881735794994	28763.22326899694	66.52269288428947
9000	302.6818186797819	298.3448751880614	0.9982044931422969	3771.1800449116135	28526.639088790394	62.24650457628171
9500	311.2515201143284	297.9685194094438	1.0549302196320167	3877.95185955768	28490.65333418731	65.7838340691794
10000	290.7672325691727	299.56700385580984	1.011100238834132	3622.7335687417117	28643.494534699923	63.0506635424415
